date,open,high,low,close,volume,money
8/29/2012,100.95,100.98,100.95,100.98,1000,100980
8/30/2012,100.98,101,100.75,101,800,80800
9/3/2012,100.98,100.98,100.98,100.98,10,1009.8
9/4/2012,100.9,100.9,100.81,100.86,410,41352.6
9/5/2012,100.87,100.95,100.8,100.95,390,39370.5
9/6/2012,100.81,100.93,100.76,100.93,440,44409.2
9/7/2012,100.7,100.92,100.7,100.91,330,33300.3
9/10/2012,100.9,100.91,100.9,100.91,2340,236129.4
9/11/2012,100.9,100.9,100.9,100.9,200,20180
9/12/2012,101.37,101.38,101.37,101.38,100,10138
9/17/2012,100.9,100.9,100.01,100.5,1950,195975
9/18/2012,100.01,100.45,100.01,100.45,130,13058.5
9/19/2012,100.45,100.45,100.2,100.45,270,27121.5
9/20/2012,100.31,100.53,100.3,100.53,180,18095.4
9/21/2012,100.52,100.52,100.52,100.52,180,18093.6
9/24/2012,100.36,100.45,100.35,100.45,920,92414
9/25/2012,100.45,100.45,100.45,100.45,10,1004.5
9/26/2012,100.4,100.4,100.4,100.4,600,60240
9/28/2012,100.44,100.55,100.44,100.55,1140,114627
10/8/2012,100.36,100.36,100.3,100.3,920,92276
10/9/2012,100.21,100.21,100.04,100.21,490,49102.9
10/10/2012,100.36,100.36,100.25,100.25,40,4010
10/11/2012,100.25,100.25,100.25,100.25,80,8020
10/12/2012,100.13,100.13,100.13,100.13,4290,429557.7
10/16/2012,100.19,100.19,100.16,100.17,420,42071.4
10/17/2012,100.18,100.23,100.18,100.23,2380,238547.4
10/18/2012,100.28,100.29,100.19,100.2,710,71142
10/19/2012,100.08,100.1,100.08,100.1,5250,525525
10/22/2012,99.28,100.12,99.28,100.12,980,98117.6
10/23/2012,100.2,100.2,100.02,100.18,780,78140.4
10/24/2012,100.17,100.17,100.17,100.17,60,6010.2
10/25/2012,100.15,100.15,100.06,100.07,440,44030.8
10/29/2012,100.18,100.18,100,100.14,160,16022.4
10/30/2012,100.14,100.14,100.14,100.14,260,26036.4
10/31/2012,100.08,100.08,100.08,100.08,100,10008
11/1/2012,100.19,100.19,100.19,100.19,60,6011.4
11/2/2012,99.56,100.19,99.55,100.19,2270,227431.3
11/5/2012,100.18,100.19,100.18,100.19,140,14026.6
11/6/2012,100.18,100.18,100.18,100.18,110,11019.8
11/8/2012,100.18,100.19,100.18,100.18,390,39070.2
11/9/2012,99.94,100.17,99.94,100.17,580,58098.6
