,bond_id,cfets,broker,cfets-mean,cfets-std,cfets-z-score-c,cfets-z-score,broker-z-score,cfets-p,broker-p,cfets-p-z,broker-p-z,Vol,cfets-zs-grp,broker-zs-grp,cfets-p-z-grp,broker-p-z-grp,Vol-z-grp
48,200313.IB,2380000000.0,34,2100958705.8823528,12850756116.523327,0.021713998117111544,0.021756700219551384,-0.039252321696108435,85,70,85.02175670021956,69.96074767830389,77.49125218926173,-1.270973182359783,-0.22134859601950932,83.72902681764022,69.77865140398049,76.75383911081036
49,210205.IB,1620000000.0,13,2100958705.8823528,12850756116.523327,-0.03742649082445372,-0.03750009264741281,-0.14535842098064186,70,50,69.9624999073526,49.85464157901936,59.908570743185976,0.4258661215738963,0.8827163597409625,70.42586612157389,50.88271635974096,60.65429124065743
50,220211.IB,1059000000.0,70,2100958705.8823528,12850756116.523327,-0.08108150963526703,-0.08124096211894821,0.14264384850594888,50,85,49.91875903788105,85.14264384850595,67.53070144319351,2.34992743512433,-0.23841082944806977,52.34992743512433,84.76158917055193,68.55575830283813
51,200006.IB,685120000.0,36,2100958705.8823528,12850756116.523327,-0.11017551753720442,-0.11039218543092265,-0.02914697890710525,50,70,49.889607814569075,69.97085302109289,59.930230417830984,1.1169100954370805,0.046952732488987056,51.11691009543708,70.04695273248899,60.581931413963034
52,220308.IB,1000000000.0,14,2100958705.8823528,12850756116.523327,-0.08567267917152012,-0.08584116051256781,-0.14030574958614028,50,50,49.914158839487435,49.85969425041386,49.88692654495065,2.155351573774304,1.0314981190570005,52.155351573774304,51.031498119057,51.59342484641565
53,170215.IB,1550000000.0,29,2100958705.8823528,12850756116.523327,-0.04287364112170315,-0.042957955148317406,-0.06451567866861639,70,70,69.95704204485168,69.93548432133139,69.94626318309153,0.16060415441152848,-0.8921019172907503,70.16060415441153,69.10789808270926,69.6342511185604
54,220315.IB,1640000000.0,56,2100958705.8823528,12850756116.523327,-0.03587016216809674,-0.03594070336144006,0.07190644898292659,70,85,69.96405929663857,85.07190644898293,77.51798287281075,0.5016552550488586,-0.7752519978556113,70.50165525504886,84.2247480021444,77.36320162859663
55,180204.IB,540000000.0,1,2100958705.8823528,12850756116.523327,-0.12146823826773068,-0.12170711408994087,-0.20599047771466097,50,50,49.87829288591006,49.794009522285336,49.836151204097696,0.6383194344351182,-0.9026647520514927,50.63831943443512,49.09733524794851,49.86782734119181
56,200014.IB,6230000000.0,29,2100958705.8823528,12850756116.523327,0.3213072644658303,0.3219391377693042,-0.06451567866861639,90,70,90.3219391377693,69.93548432133139,80.12871172955035,-0.684489921192374,-0.8921019172907503,89.31551007880762,69.10789808270926,79.21170408075844
57,210215.IB,811960000.0,45,2100958705.8823528,12850756116.523327,-0.10030528119858845,-0.10050253857928353,0.01632706364340908,50,70,49.899497461420715,70.0163270636434,59.95791226253206,1.5352152183800856,1.2543087107772208,51.53521521838009,71.25430871077722,61.394761964578656
58,210208.IB,920000000.0,48,2100958705.8823528,12850756116.523327,-0.09189799379694805,-0.09207871765645877,0.03148507782691386,50,70,49.907921282343544,70.03148507782691,59.96970318008523,1.8915198973674892,1.6567607035399654,51.89151989736749,71.65676070353996,61.77414030045372
59,190406.IB,1348300000.0,16,2100958705.8823528,12850756116.523327,-0.058569215621063306,-0.05868439609735251,-0.1302004067971371,70,50,69.94131560390265,49.86979959320286,59.90555759855276,-0.6037292566834657,1.3290616376890763,69.39627074331653,51.32906163768908,60.36266619050281
60,220304.IB,1340000000.0,37,2100958705.8823528,12850756116.523327,-0.05921509201345145,-0.059331542651031195,-0.024094307512603656,70,70,69.94066845734896,69.9759056924874,69.95828707491819,-0.6351817470755751,0.18110339674323525,69.36481825292442,70.18110339674324,69.77296082483383
61,092218001.IB,720000000.0,39,2100958705.8823528,12850756116.523327,-0.10746128036051784,-0.10767261051618619,-0.013988964723600473,50,70,49.89232738948381,69.9860110352764,59.93916921238011,1.231940706350452,0.44940472525173164,51.23194070635045,70.44940472525172,60.84067271580109
62,092202001.IB,600000000.0,10,2100958705.8823528,12850756116.523327,-0.11679925229865973,-0.11702894623202265,-0.16051643516414663,50,50,49.882971053767974,49.83948356483585,49.86122730930191,0.8361931917402294,0.4363710817928487,50.83619319174023,50.43637108179285,50.63628213676654
63,210210.IB,3230000000.0,79,2100958705.8823528,12850756116.523327,0.08785796601228323,0.08803074487339291,0.1881178910564632,85,85,85.0880307448734,85.18811789105646,85.13807431796494,-0.3868232129194677,0.10670135024249265,84.61317678708053,85.10670135024249,84.8599390686615
64,190215.IB,1110000000.0,9,2100958705.8823528,12850756116.523327,-0.07711287156155673,-0.07726451943971772,-0.16556910655864823,70,50,69.92273548056028,49.83443089344135,59.878583187000814,-1.5067567820376409,0.2875893224768108,68.49324321796236,50.28758932247681,59.39041627021959
65,220006.IB,730770000.0,10,2100958705.8823528,12850756116.523327,-0.10662319737906961,-0.10683287938568987,-0.16051643516414663,50,50,49.89316712061431,49.83948356483585,49.86632534272508,1.2674590457867194,0.4363710817928487,51.26745904578672,50.43637108179285,50.85191506378979
66,200215.IB,591700000.0,26,2100958705.8823528,12850756116.523327,-0.11744512869104788,-0.11767609278570133,-0.07967369285212117,50,70,49.8823239072143,69.92032630714787,59.90132510718109,0.8088206553130224,-1.2945539100534948,50.80882065531302,68.7054460899465,59.75713337262977
67,200003.IB,13360000000.0,26,2100958705.8823528,12850756116.523327,0.8761384304570939,0.8778614182185867,-0.07967369285212117,90,70,90.87786141821859,69.92032630714787,80.39909386268323,0.5937171971205946,-1.2945539100534948,90.5937171971206,68.7054460899465,79.64958164353355
68,230202.IB,670000000.0,49,2100958705.8823528,12850756116.523327,-0.1113521020014103,-0.11157108373111804,0.03653774922141545,50,85,49.88842891626888,85.03653774922141,67.46248333274514,1.0670459085961925,-1.043672582059382,51.06704590859619,83.95632741794061,67.5116866632684
69,200207.IB,730000000.0,42,2100958705.8823528,12850756116.523327,-0.10668311603233936,-0.10689291587319982,0.0011690494599043038,50,70,49.8931070841268,70.0011690494599,59.94713806679335,1.2649196659013038,0.8518567180144763,51.2649196659013,70.85185671801447,61.05838819195789
70,210303.IB,1440000000.0,16,2100958705.8823528,12850756116.523327,-0.051433448731666546,-0.05153459622116748,-0.1302004067971371,70,50,69.94846540377883,49.86979959320286,59.90913249849085,-0.25623607970076384,1.3290616376890763,69.74376392029923,51.32906163768908,60.536412778994155
71,220021.IB,731010000.0,15,2100958705.8823528,12850756116.523327,-0.10660452143519333,-0.1068141667142582,-0.13525307819163868,50,50,49.89318583328574,49.86474692180836,49.87896637754705,1.2682505408159397,1.1802798783730384,51.26825054081594,51.180279878373035,51.22426520959449
72,220412.IB,1330000000.0,36,2100958705.8823528,12850756116.523327,-0.05999325634162994,-0.060111237294017565,-0.02914697890710525,70,70,69.93988876270598,69.97085302109289,69.95537089189943,-0.6730763138130561,0.046952732488987056,69.32692368618694,70.04695273248899,69.68693820933797
73,220401.IB,1370000000.0,40,2100958705.8823528,12850756116.523327,-0.05688059902891598,-0.05699245872207208,-0.00893629332909888,70,70,69.94300754127792,69.9910637066709,69.96703562397441,-0.5214980468631316,0.5835553895059798,69.47850195313687,70.58355538950597,70.03102867132142
74,210011.IB,825800000.0,23,2100958705.8823528,12850756116.523327,-0.09922830176838943,-0.09942344119339039,-0.09483170703562595,50,50,49.90057655880661,49.905168292964376,49.90287242588549,1.5808580983984646,2.370533952901342,51.580858098398465,52.37053395290134,51.9756960256499
75,180211.IB,770000000.0,60,2100958705.8823528,12850756116.523327,-0.1035704587196254,-0.10377413730125433,0.09211713456093296,50,85,49.89622586269875,85.09211713456094,67.49417149862984,1.3968355041047111,-0.621868806882028,51.396835504104715,84.37813119311797,67.88748334861134
76,200202.IB,1138100000.0,26,2100958705.8823528,12850756116.523327,-0.07492622979937517,-0.07507357749292602,-0.07967369285212117,70,70,69.92492642250707,69.92032630714787,69.92262636482747,-1.4002730495053188,-1.2945539100534948,68.59972695049468,68.7054460899465,68.6525865202206
